14dh2napcoa[c]
23dhdp[c]
23dhmp[c]
2ahhmp[c]
2hetdp[c]
2obut[c]
2shchc[c]
34hpp[c]
3dhq[c]
3mob[c]
3mop[c]
4ppcys[c]
5mdr1p[c]
5mta[c]
5mthf[c]
ACP[c]
ac[c]
acgam1p[c]
acser[c]
adocbip[c]
adocbl[c]
adp[c]
agdpcbi[c]
agm[c]
ahcys[c]
alac__S[c]
amp[c]
anth[c]
aps[c]
asp__L[c]
atp[c]
avite1[c]
bvite[c]
ca2[e]
cbasp[c]
cdpdhdec9eg[c]
cdpdhdecg[c]
cdpdodec9eg[c]
chlld[c]
cholphya[c]
cmp[c]
co1dam[c]
co2[c]
coa[c]
ctp[c]
cu2[c]
cys__L[c]
dadp[c]
dcdp[c]
dgdp[c]
dhf[c]
dhnpt[c]
dhpt[c]
dmpp[c]
dmtphllqne[c]
dpcoa[c]
dscl[c]
dtocophe[c]
dudp[c]
dutp[c]
e11[c]
echin[c]
fad[c]
fdxo_2_2[c]
fe2[c]
fe2[p]
fe3[c]
fmnh2[c]
fum[c]
g3p[c]
gam1p[c]
gam6p[c]
gln__L[c]
glu__D[c]
glu__L[c]
glutrna[c]
gmp[c]
gtocophe[c]
gtp[c]
h2o2[c]
h2o[c]
h2s[c]
h[c]
hemeO[c]
hgbam[c]
his__L[c]
histdnl[c]
hmbil[c]
hmppp9[c]
hom__L[c]
iasp[c]
ipdp[c]
k[p]
mg2[p]
mlthf[c]
mn2[c]
mn2[p]
mppp9[c]
mppp9om[c]
nad[c]
nadh[c]
nadp[c]
nadph[c]
nh3[c]
nicrnt[c]
o2[c]
omppp9[c]
orot[c]
pan4p[c]
pchlld[c]
phdp[c]
phom[c]
phytoe[c]
pi[c]
ppi[c]
ppp9[c]
prbamp[c]
prbatp[c]
pre3b[c]
pre5[c]
pre6a[c]
prlp[c]
prpp[c]
ptrc[c]
pyr[c]
quln[c]
rdmbzi[c]
sbzcoa[c]
skm[c]
so3[c]
so4[p]
sucbz[c]
trdrd[c]
u23ga[c]
uaagmda[c]
uacgam[c]
uagmda[c]
uama[c]
uamag[c]
uamr[c]
udcpdp[c]
udcpp[c]
udp[c]
udpg[c]
ugmd[c]
ugmda[c]
utp[c]
zcarote[c]
