8aonn[c]
ACP[c]
adp[c]
ahcys[c]
amet[c]
amob[c]
co2[c]
coa[c]
dann[c]
h2o[c]
h[c]
iscssh[c]
iscu[c]
iscu_2fe2s[c]
malcoame[c]
nadp[c]
pi[c]
pimACP[c]
pmeACP[c]
