5prdmbz[c]
adcobhex[c]
adocbip[c]
adp[c]
amet[c]
atp[c]
co1dam[c]
cobalt2[c]
cobalt2[p]
dmbzid[c]
fmnh2[c]
h[c]
k[p]
nadh[c]
nadph[c]
pi[c]
prpp[c]
rdmbzi[c]
