"V1"
"" "H+"
"" "Pyridoxine 5'-phosphate"
"" "2-Oxobutanoate"
"" "x(99)"
"" "2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
