"V1" "V2"
"" "x(715)" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E229_nadh[c]_phytof[c]_complex"
"" "E297_nadp[c]_complex" "E409_pgp161[c]_complex"
"" "E297_nadp[c]_complex" "E412_sqdg183_6_9_12[c]_udp[c]_complex"
"" "x(135)" "E297_nadp[c]_complex"
"" "E67_glu__L[c]_pyr[c]_complex" "E297_nadp[c]_complex"
"" "E196_nh3[c]_complex" "E297_nadp[c]_complex"
"" "E208_23dhdp[c]_complex" "E297_nadp[c]_complex"
"" "E229_nadph[c]_phytof[c]_complex" "E297_nadp[c]_complex"
"" "E317_caro[c]_complex" "E297_nadp[c]_complex"
"" "E503_dvpchlld[c]_complex" "E297_nadp[c]_complex"
"" "E361_nadph[c]_complex" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E406_4ppcys[c]_complex"
"" "E297_nadp[c]_complex" "E117_spmd[c]_complex"
"" "E297_nadp[c]_complex" "E133_pi[c]_ugmda[c]_complex"
"" "E297_nadp[c]_complex" "E151_pi[c]_complex"
"" "E297_nadp[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E297_nadp[c]_complex" "E377_dhna[c]_complex"
"" "E297_nadp[c]_complex" "E429_pi[c]_complex"
"" "E297_nadp[c]_complex" "E442_pi[c]_complex"
"" "E297_nadp[c]_complex" "E452_pre6a[c]_complex"
"" "E297_nadp[c]_complex" "E468_adocbip[c]_gtp[c]_complex"
"" "E297_nadp[c]_complex" "E473_nh3[c]_pac[c]_complex"
"" "E297_nadp[c]_complex" "E421_dxyl5p[c]_complex"
"" "E297_nadp[c]_complex" "E409_pgp181_9[c]_complex"
"" "x(198)" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E175_pi[c]_complex"
"" "(x(216)" "E297_nadp[c]_complex"
"" "x(503)" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E488_nadph[c]_omppp9[c]_complex"
"" "E24_arg__L[c]_complex" "E297_nadp[c]_complex"
"" "E344_ppi[c]_prbamp[c]_complex" "E297_nadp[c]_complex"
"" "x(90))" "E297_nadp[c]_complex"
"" "(x(513)" "E297_nadp[c]_complex"
"" "E194_u23ga[c]_complex" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E57_asp__L[c]_complex"
"" "E297_nadp[c]_complex" "E307_asp__L[c]_complex"
"" "x(53)" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E406_ppi[c]_complex"
"" "E297_nadp[c]_complex" "E476_acgam1p[c]_complex"
"" "E297_nadp[c]_complex" "E13_udcpdp[c]_complex"
"" "x(521)" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E451_pre5[c]_complex"
"" "E297_nadp[c]_complex" "E390_atp[c]_fmn[c]_complex"
"" "x(602)" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E409_pgp183_9_12_15[c]_complex"
"" "E297_nadp[c]_complex" "E168_pyr[c]_complex"
"" "E240_akg[c]_complex" "E297_nadp[c]_complex"
"" "E140_chlld[c]_complex" "E297_nadp[c]_complex"
"" "E361_3hmop[c]_complex" "E297_nadp[c]_complex"
"" "E209_h2o2[c]_iasp[c]_complex" "E297_nadp[c]_complex"
"" "E25_lipidAds[c]_udp[c]_complex" "E297_nadp[c]_complex"
"" "x(75)" "E297_nadp[c]_complex"
"" "E297_nadp[c]_complex" "E137_uaagmda[c]_udp[c]_complex"
"" "E297_nadp[c]_complex" "E334_pi[c]_complex"
"" "E297_nadp[c]_complex" "E81_k[c]_pi[c]_complex"
"" "E297_nadp[c]_complex" "E90_mg2[c]_pi[c]_complex"
"" "E297_nadp[c]_complex" "E8_pi[c]_complex"
"" "x(675)" "E297_nadp[c]_complex"
"" "2-Hydroxyphenylacetate" "E297_nadp[c]_complex"
"" "E57_ala_B[c]_complex" "E307_ala_B[c]_complex"
"" "E444_h2o[c]_phpyr[c]_complex" "E57_ala_B[c]_complex"
"" "E57_ala_B[c]_complex" "E353_ppi[c]_complex"
"" "x(511)" "E57_ala_B[c]_complex"
"" "E128_ametam[c]_complex" "E57_ala_B[c]_complex"
"" "E218_nicrnt[c]_ppi[c]_complex" "E57_ala_B[c]_complex"
"" "E57_ala_B[c]_complex" "E406_pan4p[c]_complex"
"" "E57_ala_B[c]_complex" "E377_dmtphllqne[c]_ppi[c]_complex"
"" "E57_ala_B[c]_complex" "E379_hgentis[c]_complex"
"" "E57_ala_B[c]_complex" "E420_dxyl5p[c]_complex"
"" "E57_ala_B[c]_complex" "E379_2hyoxplac[c]_complex"
"" "E444_h2o[c]_phpyr[c]_complex" "E307_ala_B[c]_complex"
"" "E307_ala_B[c]_complex" "E353_ppi[c]_complex"
"" "x(511)" "E307_ala_B[c]_complex"
"" "E128_ametam[c]_complex" "E307_ala_B[c]_complex"
"" "E218_nicrnt[c]_ppi[c]_complex" "E307_ala_B[c]_complex"
"" "E307_ala_B[c]_complex" "E406_pan4p[c]_complex"
"" "E307_ala_B[c]_complex" "E377_dmtphllqne[c]_ppi[c]_complex"
"" "E307_ala_B[c]_complex" "E379_hgentis[c]_complex"
"" "E307_ala_B[c]_complex" "E420_dxyl5p[c]_complex"
"" "E307_ala_B[c]_complex" "E379_2hyoxplac[c]_complex"
"" "x(64)" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E351_dump[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E319_dudp[c]_complex"
"" "x(30)" "E406_4ppan[c]_cys__L[c]_complex"
"" "x(44)" "E406_4ppan[c]_cys__L[c]_complex"
"" "(x(37)" "E406_4ppan[c]_cys__L[c]_complex"
"" "x(60)" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E492_ala__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E506_ala__D[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E133_alaala[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E319_dadp[c]_complex"
"" "(x(566)&x(569)&x(568))" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E442_cu2[p]_complex"
"" "(x(649)&x(648))" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E465_co1dam[c]_complex"
"" "x(148)" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E319_dcdp[c]_complex"
"" "E141_acglu[c]_complex" "E406_4ppan[c]_cys__L[c]_complex"
"" "E154_asp__L[c]_citr__L[c]_complex" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E498_26dap__M[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E319_dgdp[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E467_adcobhex[c]_applp[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E351_dtmp[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E247_ac[c]_coa[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E480_5fthf[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E213_aps[c]_complex"
"" "x(86)" "E406_4ppan[c]_cys__L[c]_complex"
"" "(x(698)&x(694)&x(696)&x(699))" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E372_coa[c]_complex"
"" "x(615)" "E406_4ppan[c]_cys__L[c]_complex"
"" "E406_4ppan[c]_cys__L[c]_complex" "E93_cu2[p]_complex"
"" "E406_4ppan[c]_complex" "E406_4ppan[c]_ctp[c]_complex"
"" "E406_4ppan[c]_ctp[c]_complex" "E28_h[c]_complex"
"" "E406_4ppan[c]_ctp[c]_complex" "E210_h[c]_complex"
"" "E63_dhor__S[c]_complex" "E341_dhor__S[c]_complex"
"" "x(64)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E352_dump[c]_complex"
"" "x(487)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E369_akg[c]_complex"
"" "E418_atp[c]_complex" "E95_pi[c]_complex"
"" "E418_atp[c]_complex" "E449_pre3a[c]_complex"
"" "x(687)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E465_atp[c]_co1dam[c]_complex"
"" "E418_atp[c]_complex" "E481_nad[c]_complex"
"" "x(715)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E229_nadh[c]_phytof[c]_complex"
"" "E418_atp[c]_complex" "E409_pgp161[c]_complex"
"" "E418_atp[c]_complex" "E412_sqdg183_6_9_12[c]_udp[c]_complex"
"" "x(135)" "E418_atp[c]_complex"
"" "E67_glu__L[c]_pyr[c]_complex" "E418_atp[c]_complex"
"" "E196_nh3[c]_complex" "E418_atp[c]_complex"
"" "E208_23dhdp[c]_complex" "E418_atp[c]_complex"
"" "E229_nadph[c]_phytof[c]_complex" "E418_atp[c]_complex"
"" "E317_caro[c]_complex" "E418_atp[c]_complex"
"" "E503_dvpchlld[c]_complex" "E418_atp[c]_complex"
"" "E361_nadph[c]_complex" "E418_atp[c]_complex"
"" "E406_4ppcys[c]_complex" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E117_spmd[c]_complex"
"" "E418_atp[c]_complex" "E133_pi[c]_ugmda[c]_complex"
"" "E418_atp[c]_complex" "E151_pi[c]_complex"
"" "E418_atp[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E418_atp[c]_complex" "E377_dhna[c]_complex"
"" "E418_atp[c]_complex" "E429_pi[c]_complex"
"" "E418_atp[c]_complex" "E442_pi[c]_complex"
"" "E418_atp[c]_complex" "E452_pre6a[c]_complex"
"" "E418_atp[c]_complex" "E468_adocbip[c]_gtp[c]_complex"
"" "E418_atp[c]_complex" "E473_nh3[c]_pac[c]_complex"
"" "E418_atp[c]_complex" "E421_dxyl5p[c]_complex"
"" "E418_atp[c]_complex" "E409_pgp181_9[c]_complex"
"" "x(198)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E175_pi[c]_complex"
"" "(x(216)" "E418_atp[c]_complex"
"" "x(503)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E488_nadph[c]_omppp9[c]_complex"
"" "E24_arg__L[c]_complex" "E418_atp[c]_complex"
"" "E344_ppi[c]_prbamp[c]_complex" "E418_atp[c]_complex"
"" "x(90))" "E418_atp[c]_complex"
"" "(x(513)" "E418_atp[c]_complex"
"" "E194_u23ga[c]_complex" "E418_atp[c]_complex"
"" "E57_asp__L[c]_complex" "E418_atp[c]_complex"
"" "E307_asp__L[c]_complex" "E418_atp[c]_complex"
"" "x(53)" "E418_atp[c]_complex"
"" "E406_ppi[c]_complex" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E476_acgam1p[c]_complex"
"" "E418_atp[c]_complex" "E13_udcpdp[c]_complex"
"" "x(521)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E451_pre5[c]_complex"
"" "E418_atp[c]_complex" "E390_atp[c]_fmn[c]_complex"
"" "x(602)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E409_pgp183_9_12_15[c]_complex"
"" "E418_atp[c]_complex" "E168_pyr[c]_complex"
"" "E240_akg[c]_complex" "E418_atp[c]_complex"
"" "E140_chlld[c]_complex" "E418_atp[c]_complex"
"" "E361_3hmop[c]_complex" "E418_atp[c]_complex"
"" "E209_h2o2[c]_iasp[c]_complex" "E418_atp[c]_complex"
"" "E25_lipidAds[c]_udp[c]_complex" "E418_atp[c]_complex"
"" "x(75)" "E418_atp[c]_complex"
"" "E418_atp[c]_complex" "E137_uaagmda[c]_udp[c]_complex"
"" "E418_atp[c]_complex" "E334_pi[c]_complex"
"" "E418_atp[c]_complex" "E81_k[c]_pi[c]_complex"
"" "E418_atp[c]_complex" "E90_mg2[c]_pi[c]_complex"
"" "E418_atp[c]_complex" "E8_pi[c]_complex"
"" "x(675)" "E418_atp[c]_complex"
"" "2-Hydroxyphenylacetate" "E418_atp[c]_complex"
"" "x(60)" "E372_sbzcoa[c]_complex"
"" "x(60)" "E188_atp[c]_complex"
"" "x(217)" "x(60)"
"" "x(60)" "E491_cdpdodec912eg[c]_complex"
"" "x(60)" "E373_pran[c]_complex"
"" "x(254)" "x(60)"
"" "x(44)" "x(60)"
"" "x(459)" "x(60)"
"" "x(60)" "E344_prbamp[c]_complex"
"" "x(60)" "E64_prbatp[c]_complex"
"" "x(23)" "x(60)"
"" "x(58)" "x(60)"
"" "ATP C10H12N5O13P3" "Diphosphate"
"" "x(483)" "x(60)"
"" "x(525)" "x(60)"
"" "x(60)" "E491_cdpdhdecg[c]_complex"
"" "x(60)" "E491_cdpdodecg[c]_complex"
"" "x(60)" "x(713)"
"" "x(60)" "E491_cdpdodec11eg[c]_complex"
"" "x(60)" "E187_h2o[c]_complex"
"" "x(110)" "x(60)"
"" "x(60)" "E476_uacgam[c]_complex"
"" "x(547)" "x(60)"
"" "x(60)" "E491_cdpdodec9eg[c]_complex"
"" "ATP C10H12N5O13P3" "H+"
"" "x(64)" "E351_dump[c]_complex"
"" "x(64)" "E319_dudp[c]_complex"
"" "x(30)" "x(64)"
"" "x(44)" "x(64)"
"" "(x(37)" "x(64)"
"" "x(60)" "x(64)"
"" "x(64)" "E492_ala__L[c]_complex"
"" "x(64)" "E506_ala__D[c]_complex"
"" "x(64)" "E133_alaala[c]_complex"
"" "x(64)" "E319_dadp[c]_complex"
"" "(x(566)&x(569)&x(568))" "x(64)"
"" "x(64)" "E442_cu2[p]_complex"
"" "(x(649)&x(648))" "x(64)"
"" "x(64)" "E465_co1dam[c]_complex"
"" "x(148)" "x(64)"
"" "x(64)" "E319_dcdp[c]_complex"
"" "x(64)" "E141_acglu[c]_complex"
"" "x(64)" "E154_asp__L[c]_citr__L[c]_complex"
"" "x(64)" "E498_26dap__M[c]_complex"
"" "x(64)" "E319_dgdp[c]_complex"
"" "x(64)" "E467_adcobhex[c]_applp[c]_complex"
"" "x(64)" "E351_dtmp[c]_complex"
"" "x(64)" "E247_ac[c]_coa[c]_complex"
"" "x(64)" "E480_5fthf[c]_complex"
"" "x(64)" "E213_aps[c]_complex"
"" "x(64)" "x(86)"
"" "(x(698)&x(694)&x(696)&x(699))" "x(64)"
"" "x(64)" "E372_coa[c]_complex"
"" "x(615)" "x(64)"
"" "x(64)" "E93_cu2[p]_complex"
"" "x(64)" "E352_dump[c]_complex"
"" "x(487)" "x(64)"
"" "x(64)" "E369_akg[c]_complex"
"" "x(64)" "E95_pi[c]_complex"
"" "x(64)" "E449_pre3a[c]_complex"
"" "x(64)" "x(687)"
"" "x(64)" "E465_atp[c]_co1dam[c]_complex"
"" "x(64)" "E481_nad[c]_complex"
"" "x(64)" "x(715)"
"" "x(64)" "E229_nadh[c]_phytof[c]_complex"
"" "x(64)" "E409_pgp161[c]_complex"
"" "x(64)" "E412_sqdg183_6_9_12[c]_udp[c]_complex"
"" "x(135)" "x(64)"
"" "x(64)" "E67_glu__L[c]_pyr[c]_complex"
"" "x(64)" "E196_nh3[c]_complex"
"" "x(64)" "E208_23dhdp[c]_complex"
"" "x(64)" "E229_nadph[c]_phytof[c]_complex"
"" "x(64)" "E317_caro[c]_complex"
"" "x(64)" "E503_dvpchlld[c]_complex"
"" "x(64)" "E361_nadph[c]_complex"
"" "x(64)" "E406_4ppcys[c]_complex"
"" "x(64)" "E117_spmd[c]_complex"
"" "x(64)" "E133_pi[c]_ugmda[c]_complex"
"" "x(64)" "E151_pi[c]_complex"
"" "x(64)" "E78_mn2[c]_pi[c]_complex"
"" "x(64)" "E377_dhna[c]_complex"
"" "x(64)" "E429_pi[c]_complex"
"" "x(64)" "E442_pi[c]_complex"
"" "x(64)" "E452_pre6a[c]_complex"
"" "x(64)" "E468_adocbip[c]_gtp[c]_complex"
"" "x(64)" "E473_nh3[c]_pac[c]_complex"
"" "x(64)" "E421_dxyl5p[c]_complex"
"" "x(64)" "E409_pgp181_9[c]_complex"
"" "x(198)" "x(64)"
"" "x(64)" "E175_pi[c]_complex"
"" "(x(216)" "x(64)"
"" "x(503)" "x(64)"
"" "x(64)" "E488_nadph[c]_omppp9[c]_complex"
"" "x(64)" "E24_arg__L[c]_complex"
"" "x(64)" "E344_ppi[c]_prbamp[c]_complex"
"" "x(64)" "x(90))"
"" "(x(513)" "x(64)"
"" "x(64)" "E194_u23ga[c]_complex"
"" "x(64)" "E57_asp__L[c]_complex"
"" "x(64)" "E307_asp__L[c]_complex"
"" "x(53)" "x(64)"
"" "x(64)" "E406_ppi[c]_complex"
"" "x(64)" "E476_acgam1p[c]_complex"
"" "x(64)" "E13_udcpdp[c]_complex"
"" "x(521)" "x(64)"
"" "x(64)" "E451_pre5[c]_complex"
"" "x(64)" "E390_atp[c]_fmn[c]_complex"
"" "x(602)" "x(64)"
"" "x(64)" "E409_pgp183_9_12_15[c]_complex"
"" "x(64)" "E168_pyr[c]_complex"
"" "x(64)" "E240_akg[c]_complex"
"" "x(64)" "E140_chlld[c]_complex"
"" "x(64)" "E361_3hmop[c]_complex"
"" "x(64)" "E209_h2o2[c]_iasp[c]_complex"
"" "x(64)" "E25_lipidAds[c]_udp[c]_complex"
"" "x(64)" "x(75)"
"" "x(64)" "E137_uaagmda[c]_udp[c]_complex"
"" "x(64)" "E334_pi[c]_complex"
"" "x(64)" "E81_k[c]_pi[c]_complex"
"" "x(64)" "E90_mg2[c]_pi[c]_complex"
"" "x(64)" "E8_pi[c]_complex"
"" "x(64)" "x(675)"
"" "2-Hydroxyphenylacetate" "x(64)"
"" "S-Adenosylmethioninamine" "Spermidine"
"" "D-Fructose 6-phosphate" "L-Glutamate"
"" "E476_h[c]_complex" "E376_dhna[c]_h[c]_complex"
"" "E439_h[c]_complex" "E476_h[c]_complex"
"" "x(207)" "E476_h[c]_complex"
"" "x(519)" "E476_h[c]_complex"
"" "x(80)" "E492_ala__L[c]_atp[c]_complex"
"" "x(89)" "E133_alaala[c]_atp[c]_complex"
"" "x(121)" "E133_ugmda[c]_complex"
"" "x(646))" "E133_ugmda[c]_complex"
"" "E133_ugmda[c]_complex" "E120_pg180[c]_complex"
"" "E133_ugmda[c]_complex" "E120_pg181[c]_complex"
"" "(x(124)" "E133_ugmda[c]_complex"
"" "x(148)" "E133_ugmda[c]_complex"
"" "E197_thr__L[c]_complex" "E133_ugmda[c]_complex"
"" "E203_aspsa[c]_nadp[c]_complex" "E133_ugmda[c]_complex"
"" "x(120))" "E133_ugmda[c]_complex"
"" "E498_ugmd[c]_complex" "E133_ugmda[c]_complex"
"" "x(99)" "E133_ugmda[c]_complex"
"" "(x(566)&x(569)&x(568))" "E133_ugmda[c]_complex"
"" "(x(578)&x(571)&x(575)&x(577)&x(581))" "E133_ugmda[c]_complex"
"" "x(615)" "E133_ugmda[c]_complex"
"" "(x(644)" "E133_ugmda[c]_complex"
"" "(x(649)&x(648))" "E133_ugmda[c]_complex"
"" "x(58)" "E133_ugmda[c]_complex"
"" "E286_g3p[c]_nad[c]_complex" "E133_ugmda[c]_complex"
"" "E23_f6p[c]_complex" "E133_ugmda[c]_complex"
"" "E192_f6p[c]_complex" "E133_ugmda[c]_complex"
"" "E133_ugmda[c]_complex" "E82_bglycogen[c]_complex"
"" "E133_ugmda[c]_complex" "E410_bglycogen[c]_complex"
"" "E133_ugmda[c]_complex" "E82_glycogen[c]_complex"
"" "E133_ugmda[c]_complex" "E410_glycogen[c]_complex"
"" "E478_uaccg[c]_complex" "E133_ugmda[c]_complex"
"" "(x(660)&x(651)&x(654)&x(664)))" "E133_ugmda[c]_complex"
"" "E133_ugmda[c]_complex" "E399_5mta[c]_complex"
"" "Phosphatidylglycerol (dioctadec-9-enoyl, n-C18 1)" "E133_ugmda[c]_complex"
"" "Phosphatidylglycerol (dioctadec-9-12-dienoyl, n-C18 2)" "E133_ugmda[c]_complex"
"" "Phosphatidylglycerol (dioctadec-9-12-15-trienoyl, n-C18 3)" "E133_ugmda[c]_complex"
"" "x(101)" "E135_udcpp[c]_complex"
"" "(x(112)" "E151_h2o[c]_complex"
"" "x(114))" "E151_h2o[c]_complex"
"" "x(121)" "x(646))"
"" "x(121)" "E120_pg180[c]_complex"
"" "x(121)" "E120_pg181[c]_complex"
"" "(x(124)" "x(121)"
"" "x(121)" "x(148)"
"" "x(121)" "E197_thr__L[c]_complex"
"" "x(121)" "E203_aspsa[c]_nadp[c]_complex"
"" "H2O H2O" "Phosphate"
"" "x(120))" "x(121)"
"" "x(121)" "E498_ugmd[c]_complex"
"" "x(121)" "x(99)"
"" "(x(566)&x(569)&x(568))" "x(121)"
"" "(x(578)&x(571)&x(575)&x(577)&x(581))" "x(121)"
"" "x(121)" "x(615)"
"" "(x(644)" "x(121)"
"" "(x(649)&x(648))" "x(121)"
"" "x(121)" "x(58)"
"" "x(121)" "E286_g3p[c]_nad[c]_complex"
"" "x(121)" "E23_f6p[c]_complex"
"" "x(121)" "E192_f6p[c]_complex"
"" "x(121)" "E82_bglycogen[c]_complex"
"" "x(121)" "E410_bglycogen[c]_complex"
"" "x(121)" "E82_glycogen[c]_complex"
"" "x(121)" "E410_glycogen[c]_complex"
"" "x(121)" "E478_uaccg[c]_complex"
"" "(x(660)&x(651)&x(654)&x(664)))" "x(121)"
"" "x(121)" "E399_5mta[c]_complex"
"" "Phosphatidylglycerol (dioctadec-9-enoyl, n-C18 1)" "x(121)"
"" "Phosphatidylglycerol (dioctadec-9-12-dienoyl, n-C18 2)" "x(121)"
"" "Phosphatidylglycerol (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(121)"
"" "Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala" "Undecaprenyl diphosphate"
"" "(x(112)" "x(114))"
"" "(x(112)" "E137_udp[c]_complex"
"" "Dimethylallyl diphosphate" "Isopentenyl diphosphate"
"" "x(274)" "E427_h2o[c]_nadp[c]_complex"
"" "x(481)" "E319_atp[c]_complex"
"" "x(107)" "E333_trdrd[c]_complex"
"" "E333_trdrd[c]_complex" "E205_dgdg160[c]_complex"
"" "E333_trdrd[c]_complex" "E205_dgdg180[c]_complex"
"" "E333_trdrd[c]_complex" "E205_dgdg181_9[c]_complex"
"" "E333_trdrd[c]_complex" "E205_dgdg183_6_9_12[c]_complex"
"" "E333_trdrd[c]_complex" "E205_dgdg184_6_9_12_15[c]_complex"
"" "(x(19)&x(20))" "E333_trdrd[c]_complex"
"" "E333_trdrd[c]_complex" "E412_sqdg161[c]_complex"
"" "E333_trdrd[c]_complex" "E412_sqdg183_9_12_15[c]_complex"
"" "Oxidized thioredoxin" "Reduced thioredoxin"
"" "x(446)" "E59_fdxrd[c]_h[c]_complex"
"" "x(446)" "E182_h[c]_nadph[c]_complex"
"" "DCTP C9H12N3O13P3" "Ammonia"
"" "x(424)" "x(477)"
"" "E351_dump[c]_complex" "E319_dudp[c]_complex"
"" "x(30)" "E351_dump[c]_complex"
"" "x(44)" "E351_dump[c]_complex"
"" "(x(37)" "E351_dump[c]_complex"
"" "x(60)" "E351_dump[c]_complex"
"" "E492_ala__L[c]_complex" "E351_dump[c]_complex"
"" "E506_ala__D[c]_complex" "E351_dump[c]_complex"
"" "E133_alaala[c]_complex" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E319_dadp[c]_complex"
"" "(x(566)&x(569)&x(568))" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E442_cu2[p]_complex"
"" "(x(649)&x(648))" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E465_co1dam[c]_complex"
"" "x(148)" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E319_dcdp[c]_complex"
"" "E141_acglu[c]_complex" "E351_dump[c]_complex"
"" "E154_asp__L[c]_citr__L[c]_complex" "E351_dump[c]_complex"
"" "E498_26dap__M[c]_complex" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E319_dgdp[c]_complex"
"" "E351_dump[c]_complex" "E467_adcobhex[c]_applp[c]_complex"
"" "E351_dump[c]_complex" "E351_dtmp[c]_complex"
"" "E247_ac[c]_coa[c]_complex" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E480_5fthf[c]_complex"
"" "E351_dump[c]_complex" "E213_aps[c]_complex"
"" "x(86)" "E351_dump[c]_complex"
"" "(x(698)&x(694)&x(696)&x(699))" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E372_coa[c]_complex"
"" "x(615)" "E351_dump[c]_complex"
"" "E351_dump[c]_complex" "E93_cu2[p]_complex"
"" "x(487)" "E352_dump[c]_complex"
"" "E352_dump[c]_complex" "E369_akg[c]_complex"
"" "E352_dump[c]_complex" "E95_pi[c]_complex"
"" "E352_dump[c]_complex" "E449_pre3a[c]_complex"
"" "x(687)" "E352_dump[c]_complex"
"" "E352_dump[c]_complex" "E465_atp[c]_co1dam[c]_complex"
"" "E352_dump[c]_complex" "E481_nad[c]_complex"
"" "x(715)" "E352_dump[c]_complex"
"" "E352_dump[c]_complex" "E229_nadh[c]_phytof[c]_complex"
"" "E352_dump[c]_complex" "E409_pgp161[c]_complex"
"" "E352_dump[c]_complex" "E412_sqdg183_6_9_12[c]_udp[c]_complex"
"" "x(135)" "E352_dump[c]_complex"
"" "E67_glu__L[c]_pyr[c]_complex" "E352_dump[c]_complex"
"" "E196_nh3[c]_complex" "E352_dump[c]_complex"
"" "E208_23dhdp[c]_complex" "E352_dump[c]_complex"
"" "E229_nadph[c]_phytof[c]_complex" "E352_dump[c]_complex"
"" "E317_caro[c]_complex" "E352_dump[c]_complex"
"" "E503_dvpchlld[c]_complex" "E352_dump[c]_complex"
"" "E361_nadph[c]_complex" "E352_dump[c]_complex"
"" "E406_4ppcys[c]_complex" "E352_dump[c]_complex"
"" "E117_spmd[c]_complex" "E352_dump[c]_complex"
"" "E133_pi[c]_ugmda[c]_complex" "E352_dump[c]_complex"
"" "E151_pi[c]_complex" "E352_dump[c]_complex"
"" "E352_dump[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E352_dump[c]_complex" "E377_dhna[c]_complex"
"" "E352_dump[c]_complex" "E429_pi[c]_complex"
"" "E352_dump[c]_complex" "E442_pi[c]_complex"
"" "E352_dump[c]_complex" "E452_pre6a[c]_complex"
"" "E352_dump[c]_complex" "E468_adocbip[c]_gtp[c]_complex"
"" "E352_dump[c]_complex" "E473_nh3[c]_pac[c]_complex"
"" "E352_dump[c]_complex" "E421_dxyl5p[c]_complex"
"" "E352_dump[c]_complex" "E409_pgp181_9[c]_complex"
"" "x(198)" "E352_dump[c]_complex"
"" "E352_dump[c]_complex" "E175_pi[c]_complex"
"" "(x(216)" "E352_dump[c]_complex"
"" "x(503)" "E352_dump[c]_complex"
"" "E352_dump[c]_complex" "E488_nadph[c]_omppp9[c]_complex"
"" "E24_arg__L[c]_complex" "E352_dump[c]_complex"
"" "E344_ppi[c]_prbamp[c]_complex" "E352_dump[c]_complex"
"" "x(90))" "E352_dump[c]_complex"
"" "(x(513)" "E352_dump[c]_complex"
"" "E194_u23ga[c]_complex" "E352_dump[c]_complex"
"" "E57_asp__L[c]_complex" "E352_dump[c]_complex"
"" "E307_asp__L[c]_complex" "E352_dump[c]_complex"
"" "x(53)" "E352_dump[c]_complex"
"" "E406_ppi[c]_complex" "E352_dump[c]_complex"
"" "E476_acgam1p[c]_complex" "E352_dump[c]_complex"
"" "E13_udcpdp[c]_complex" "E352_dump[c]_complex"
"" "x(521)" "E352_dump[c]_complex"
"" "E352_dump[c]_complex" "E451_pre5[c]_complex"
"" "E352_dump[c]_complex" "E390_atp[c]_fmn[c]_complex"
