"V1" "V2"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E49_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E273_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E274_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E56_gtp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E58_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E315_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E7_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E415_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E91_atp[c]_ca2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E433_atp[c]_ca2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E382_25dhpp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E103_adprib[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E474_adprib[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E477_csn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E316_fmn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E105_gtp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E482_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E329_arg__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E121_cytd[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E122_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E58_cmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E315_cmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E333_ctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E179_10fthf[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E88_atp[c]_cobalt2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E349_dctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E56_trdox[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E81_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E90_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E8_atp[c]_fe3[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E95_atp[c]_fe3[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E101_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E427_ipdp[c]_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E150_dhpmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)"
"" "Phenylacetic acid" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E444_phpyr[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(460)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(504)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E368_3mob[c]_accoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(17)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E78_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E442_atp[c]_cu2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E94_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(131)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(137)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E126_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E224_ahcys[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(468)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E499_hmppp9[c]_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E14_ahdt[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E71_3mob[c]_accoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(121)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E333_trdox[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E429_atp[c]_fe2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E452_amet[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E427_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "(x(489)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(491))"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(812)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "(x(194)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(43)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E385_uppg3[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E350_imacp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E360_3mob[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E98_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E371_sucbz[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "x(521)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E376_14dh2napcoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E93_atp[c]_cu2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E177_agm[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E14_dhpmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E199_udpsq[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E47_fdp[c]_complex"
