"V1" "V2"
"" "E_500" "E379_nadh[c]_o2[c]_complex"
"" "E_321" "E103_h2o[c]_complex"
"" "E_159" "E_213"
"" "adocbip[c]" "agdpcbi[c]"
"" "h2o[c]" "k[c]"
"" "na1[c]" "na1[p]"
"" "E198_Ncbmpts[c]_h2o[c]_complex" "E423_fmn[c]_complex"
"" "2a3pp[c]" "E60_k[c]_pi[c]_complex"
"" "2a3pp[c]" "E348_pre3a[c]_complex"
"" "2a3pp[c]" "E281_pi[c]_complex"
"" "2a3pp[c]" "E130_2cpr5p[c]_complex"
"" "2a3pp[c]" "E478_26dap__M[c]_complex"
"" "2a3pp[c]" "E68_cobalt2[c]_pi[c]_complex"
"" "2a3pp[c]" "E437_asp__L[c]_complex"
"" "2a3pp[c]" "E374_h2o[c]_iasp[c]_complex"
"" "2a3pp[c]" "E99_3c4mop[c]_complex"
"" "2a3pp[c]" "E415_adp[c]_pep[c]_complex"
"" "2a3pp[c]" "E_500"
"" "E83_h2s[c]_complex" "E311_h2s[c]_complex"
"" "E308_h2s[c]_complex" "E311_h2s[c]_complex"
"" "E311_h2s[c]_complex" "E464_h2s[c]_complex"
"" "E_444" "E105_h2o[c]_complex"
"" "E104_h2o[c]_complex" "E68_h2o[c]_complex"
"" "E104_h2o[c]_complex" "E465_h2o[c]_nac[c]_complex"
"" "E104_h2o[c]_complex" "E37_thr__L[c]_complex"
"" "E104_h2o[c]_complex" "E494_thr__L[c]_complex"
"" "E104_h2o[c]_complex" "E508_h[c]_complex"
"" "E104_h2o[c]_complex" "E281_applp[c]_complex"
"" "E104_h2o[c]_complex" "E60_h2o[c]_complex"
"" "E104_h2o[c]_complex" "E516_skm[c]_complex"
"" "E104_h2o[c]_complex" "E235_glu__D[c]_uama[c]_complex"
"" "E104_h2o[c]_complex" "E495_s7p[c]_complex"
"" "E104_h2o[c]_complex" "E497_thr__L[c]_complex"
"" "E104_h2o[c]_complex" "E498_thr__L[c]_complex"
"" "E104_h2o[c]_complex" "E280_h2o[c]_pyr[c]_complex"
"" "E104_h2o[c]_complex" "E162_ala__D[c]_complex"
"" "E104_h2o[c]_complex" "E164_glyc__R[c]_complex"
"" "E104_h2o[c]_complex" "E293_fru[c]_complex"
"" "E104_h2o[c]_complex" "E294_4ppan[c]_cys__L[c]_complex"
"" "E104_h2o[c]_complex" "E209_dhpt[c]_glu__L[c]_complex"
"" "E104_h2o[c]_complex" "E323_fpram[c]_complex"
"" "E104_h2o[c]_complex" "E394_asp__L[c]_complex"
"" "E104_h2o[c]_complex" "E337_h[c]_so4[c]_complex"
"" "E104_h2o[c]_complex" "E338_dpcoa[c]_complex"
"" "E104_h2o[c]_complex" "E120_glu__L[c]_trnaglu[c]_complex"
"" "E104_h2o[c]_complex" "E173_thmmp[c]_complex"
"" "E104_h2o[c]_complex" "E181_4c2me[c]_complex"
"" "E104_h2o[c]_complex" "E355_cys__L[c]_glu__L[c]_complex"
"" "E104_h2o[c]_complex" "E148_ru5p__D[c]_complex"
"" "E104_h2o[c]_complex" "E169_for[c]_gar[c]_complex"
