"V1" "V2"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E288_pa_pf_20_4_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E219_atp[c]_cu2[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E108_atp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E41_atp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E49_atp[c]_ca2[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E241_atp[c]_ca2[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E17_f6p[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E258_f6p[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E257_fdp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E155_g6p[c]_complex"
"" "x(272)" "E79_acgpail_pf_18_0_18_1[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E42_camp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E229_camp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E230_camp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E233_camp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E42_35cgmp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E229_35cgmp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E230_35cgmp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E232_35cgmp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E234_35cgmp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E363_6pgl[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E90_methf[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E133_methf[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E411_methf[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E21_mi145p[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E107_mi14p[c]_complex"
"" "Phosphatidyl glycerophsophate(plasmodium)" "E79_acgpail_pf_18_0_18_1[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E208_tag_pf_16_0_18_0_18_0[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E106_mi4p__D[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E32_tag_pf_16_0_18_0_18_0[c]_complex"
