"V1" "V2"
"" "E192_dggpi[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E192_dggpi[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E118_atp[c]_complex" "E44_atp[c]_h[c]_complex"
"" "E118_atp[c]_complex" "E196_atp[c]_h[c]_complex"
"" "cdpg[c]" "E118_atp[c]_complex"
"" "dhp23cp[c]" "E118_atp[c]_complex"
"" "sec[c]" "E118_atp[c]_complex"
"" "E118_atp[c]_complex" "E311_atp[c]_complex"
"" "E118_atp[c]_complex" "E311_gtp[c]_complex"
"" "dhadrp[c]" "E118_atp[c]_complex"
"" "E118_atp[c]_complex" "E92_atp[c]_pi[e]_complex"
"" "E194_atp[c]_complex" "E219_4abz[c]_h[c]_complex"
"" "E194_atp[c]_complex" "E213_gln__L[c]_h2o[c]_complex"
"" "dhadr[c]" "E194_atp[c]_complex"
"" "E194_atp[c]_complex" "E117_h2o[c]_complex"
"" "E44_atp[c]_h[c]_complex" "E196_atp[c]_h[c]_complex"
"" "cdpg[c]" "E44_atp[c]_h[c]_complex"
"" "dhp23cp[c]" "E44_atp[c]_h[c]_complex"
"" "sec[c]" "E44_atp[c]_h[c]_complex"
"" "E44_atp[c]_h[c]_complex" "E311_atp[c]_complex"
"" "E44_atp[c]_h[c]_complex" "E311_gtp[c]_complex"
"" "dhadrp[c]" "E44_atp[c]_h[c]_complex"
"" "E44_atp[c]_h[c]_complex" "E92_atp[c]_pi[e]_complex"
"" "cdpg[c]" "E196_atp[c]_h[c]_complex"
"" "dhp23cp[c]" "E196_atp[c]_h[c]_complex"
"" "sec[c]" "E196_atp[c]_h[c]_complex"
"" "E196_atp[c]_h[c]_complex" "E311_atp[c]_complex"
"" "E196_atp[c]_h[c]_complex" "E311_gtp[c]_complex"
"" "dhadrp[c]" "E196_atp[c]_h[c]_complex"
"" "E196_atp[c]_h[c]_complex" "E92_atp[c]_pi[e]_complex"
"" "E43_dgggps[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E43_dgggps[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E43_dgggps[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E187_dgggps[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E187_dgggps[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E189_dgggps[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "lac__L[c]" "E403_2plac__L[c]_h[c]_complex"
"" "dhrfap[c]" "E5_akg[c]_gln__L[c]_complex"
"" "dhrfap[c]" "E217_akg[c]_gln__L[c]_complex"
"" "dhrfap[c]" "E218_akg[c]_gln__L[c]_complex"
"" "dhrfap[c]" "h2mpt[c]"
"" "E219_4abz[c]_h[c]_complex" "E213_gln__L[c]_h2o[c]_complex"
"" "dhadr[c]" "E219_4abz[c]_h[c]_complex"
"" "E219_4abz[c]_h[c]_complex" "E117_h2o[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E216_2obut[c]_h[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E233_2obut[c]_h[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E261_2obut[c]_h[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E269_2obut[c]_h[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E364_aspsa[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E350_h[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E293_atp[c]_pi[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E71_atp[c]_h2o[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E297_atp[c]_h2o[c]_complex"
"" "E6_2obut[c]_h[c]_complex" "E298_atp[c]_h2o[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E233_2obut[c]_h[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E261_2obut[c]_h[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E269_2obut[c]_h[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E364_aspsa[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E350_h[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E293_atp[c]_pi[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E71_atp[c]_h2o[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E297_atp[c]_h2o[c]_complex"
"" "E216_2obut[c]_h[c]_complex" "E298_atp[c]_h2o[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E261_2obut[c]_h[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E269_2obut[c]_h[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E364_aspsa[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E350_h[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E293_atp[c]_pi[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E71_atp[c]_h2o[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E297_atp[c]_h2o[c]_complex"
"" "E233_2obut[c]_h[c]_complex" "E298_atp[c]_h2o[c]_complex"
"" "E261_2obut[c]_h[c]_complex" "E269_2obut[c]_h[c]_complex"
"" "E261_2obut[c]_h[c]_complex" "E364_aspsa[c]_complex"
"" "E261_2obut[c]_h[c]_complex" "E350_h[c]_complex"
"" "E261_2obut[c]_h[c]_complex" "E293_atp[c]_pi[c]_complex"
"" "E261_2obut[c]_h[c]_complex" "E71_atp[c]_h2o[c]_complex"
"" "E261_2obut[c]_h[c]_complex" "E297_atp[c]_h2o[c]_complex"
"" "E261_2obut[c]_h[c]_complex" "E298_atp[c]_h2o[c]_complex"
"" "E269_2obut[c]_h[c]_complex" "E364_aspsa[c]_complex"
"" "E269_2obut[c]_h[c]_complex" "E350_h[c]_complex"
"" "E269_2obut[c]_h[c]_complex" "E293_atp[c]_pi[c]_complex"
"" "E269_2obut[c]_h[c]_complex" "E71_atp[c]_h2o[c]_complex"
"" "E269_2obut[c]_h[c]_complex" "E297_atp[c]_h2o[c]_complex"
"" "E269_2obut[c]_h[c]_complex" "E298_atp[c]_h2o[c]_complex"
"" "E50_atp[c]_h2o[c]_complex" "E226_atp[c]_h2o[c]_complex"
"" "E69_h[c]_complex" "E376_h[c]_complex"
"" "dcamp[c]" "25aics[c]"
"" "E12_atp[c]_h2o[c]_complex" "E68_atp[c]_h2o[c]_complex"
"" "E188_asp__L[c]_gtp[c]_complex" "E24_h2o[c]_nad[c]_complex"
"" "E188_asp__L[c]_gtp[c]_complex" "E147_h2o[c]_nad[c]_complex"
"" "cd2[c]" "cd2[e]"
"" "dggpgp[c]" "3hdggpgp[c]"
"" "E97_air[c]_atp[c]_complex" "E353_air[c]_atp[c]_complex"
"" "E97_air[c]_atp[c]_complex" "E363_air[c]_atp[c]_complex"
"" "E97_air[c]_atp[c]_complex" "E81_atp[c]_pyr[c]_complex"
"" "E353_air[c]_atp[c]_complex" "E363_air[c]_atp[c]_complex"
"" "E353_air[c]_atp[c]_complex" "E81_atp[c]_pyr[c]_complex"
"" "E363_air[c]_atp[c]_complex" "E81_atp[c]_pyr[c]_complex"
"" "ohexa[c]" "ohepa[c]"
"" "2ood[c]" "sf430a[c]"
"" "E243_cdgggp[c]_complex" "E243_3hcdgggp[c]_complex"
"" "cdpg[c]" "dhp23cp[c]"
"" "cdpg[c]" "sec[c]"
"" "cdpg[c]" "E311_atp[c]_complex"
"" "cdpg[c]" "E311_gtp[c]_complex"
"" "cdpg[c]" "dhadrp[c]"
"" "cdpg[c]" "E92_atp[c]_pi[e]_complex"
"" "dhadrpr[c]" "E123_23dpg[c]_h[c]_complex"
"" "dhadrdpr[c]" "E123_23dpg[c]_h[c]_complex"
"" "E80_atp[c]_h2o[c]_complex" "E339_atp[c]_h2o[c]_complex"
"" "E56_atp[c]_complex" "E244_atp[c]_complex"
"" "E56_atp[c]_complex" "E247_atp[c]_complex"
"" "E56_atp[c]_complex" "E56_gtp[c]_complex"
"" "E56_atp[c]_complex" "E244_gtp[c]_complex"
"" "E56_atp[c]_complex" "E247_gtp[c]_complex"
"" "E244_atp[c]_complex" "E247_atp[c]_complex"
"" "E244_atp[c]_complex" "E56_gtp[c]_complex"
"" "E244_atp[c]_complex" "E244_gtp[c]_complex"
"" "E244_atp[c]_complex" "E247_gtp[c]_complex"
"" "E247_atp[c]_complex" "E56_gtp[c]_complex"
"" "E247_atp[c]_complex" "E244_gtp[c]_complex"
"" "E247_atp[c]_complex" "E247_gtp[c]_complex"
"" "E56_gtp[c]_complex" "E244_gtp[c]_complex"
"" "E56_gtp[c]_complex" "E247_gtp[c]_complex"
"" "E244_gtp[c]_complex" "E247_gtp[c]_complex"
"" "tih2cit[c]" "tih3cit[c]"
"" "tih2cit[c]" "ihcit_T[c]"
"" "E18_h[c]_complex" "E131_h[c]_complex"
"" "tih3cit[c]" "ihcit_T[c]"
"" "E33_atp[c]_citr__L[c]_complex" "E161_atp[c]_citr__L[c]_complex"
"" "E33_atp[c]_citr__L[c]_complex" "E36_h[c]_complex"
"" "E33_atp[c]_citr__L[c]_complex" "E170_h[c]_complex"
"" "E161_atp[c]_citr__L[c]_complex" "E36_h[c]_complex"
"" "E161_atp[c]_citr__L[c]_complex" "E170_h[c]_complex"
"" "E364_aspsa[c]_complex" "E350_h[c]_complex"
"" "E364_aspsa[c]_complex" "E293_atp[c]_pi[c]_complex"
"" "E364_aspsa[c]_complex" "E71_atp[c]_h2o[c]_complex"
"" "E364_aspsa[c]_complex" "E297_atp[c]_h2o[c]_complex"
"" "E364_aspsa[c]_complex" "E298_atp[c]_h2o[c]_complex"
"" "E89_atp[c]_glu__L[c]_complex" "E366_atp[c]_glu__L[c]_complex"
"" "E36_h[c]_complex" "E170_h[c]_complex"
"" "dhp23cp[c]" "sec[c]"
"" "dhp23cp[c]" "E311_atp[c]_complex"
"" "dhp23cp[c]" "E311_gtp[c]_complex"
"" "dhp23cp[c]" "dhadrp[c]"
"" "dhp23cp[c]" "E92_atp[c]_pi[e]_complex"
"" "E95_4abz[c]_complex" "E378_4abz[c]_complex"
"" "E95_4abz[c]_complex" "E382_Brfap[c]_complex"
"" "E378_4abz[c]_complex" "E382_Brfap[c]_complex"
"" "dmpp[c]" "m3hdp[c]"
"" "E83_h[c]_nadh[c]_complex" "E83_h[c]_nadph[c]_complex"
"" "sec[c]" "E311_atp[c]_complex"
"" "sec[c]" "E311_gtp[c]_complex"
"" "sec[c]" "dhadrp[c]"
"" "sec[c]" "E92_atp[c]_pi[e]_complex"
"" "E96_f420_2h2[c]_h[c]_complex" "E16_h2[e]_h[c]_complex"
"" "E96_f420_2h2[c]_h[c]_complex" "E409_h2[e]_h[c]_complex"
"" "E96_f420_2h2[c]_h[c]_complex" "E410_h2[e]_h[c]_complex"
"" "E96_f420_2h2[c]_h[c]_complex" "E411_h2[e]_h[c]_complex"
"" "E16_h2[e]_h[c]_complex" "E409_h2[e]_h[c]_complex"
"" "E16_h2[e]_h[c]_complex" "E410_h2[e]_h[c]_complex"
"" "E16_h2[e]_h[c]_complex" "E411_h2[e]_h[c]_complex"
"" "E409_h2[e]_h[c]_complex" "E410_h2[e]_h[c]_complex"
"" "E409_h2[e]_h[c]_complex" "E411_h2[e]_h[c]_complex"
"" "E410_h2[e]_h[c]_complex" "E411_h2[e]_h[c]_complex"
"" "E1_f420_2[c]_complex" "E133_f420_2[c]_complex"
"" "E1_f420_2[c]_complex" "E136_f420_2[c]_complex"
"" "E1_f420_2[c]_complex" "E138_f420_2[c]_complex"
"" "E133_f420_2[c]_complex" "E136_f420_2[c]_complex"
"" "E133_f420_2[c]_complex" "E138_f420_2[c]_complex"
"" "E136_f420_2[c]_complex" "E138_f420_2[c]_complex"
"" "E175_gln__L[c]_complex" "E340_adp[c]_complex"
"" "E40_h2o[c]_complex" "E41_h2o[c]_complex"
"" "E40_h2o[c]_complex" "E190_h2o[c]_complex"
"" "E40_h2o[c]_complex" "E3_pi[c]_complex"
"" "E40_h2o[c]_complex" "E191_pi[c]_complex"
"" "E40_h2o[c]_complex" "E195_pi[c]_complex"
"" "E40_h2o[c]_complex" "E197_pi[c]_complex"
"" "E41_h2o[c]_complex" "E190_h2o[c]_complex"
"" "E41_h2o[c]_complex" "E3_pi[c]_complex"
"" "E41_h2o[c]_complex" "E191_pi[c]_complex"
"" "E41_h2o[c]_complex" "E195_pi[c]_complex"
"" "E41_h2o[c]_complex" "E197_pi[c]_complex"
"" "E190_h2o[c]_complex" "E3_pi[c]_complex"
"" "E190_h2o[c]_complex" "E191_pi[c]_complex"
"" "E190_h2o[c]_complex" "E195_pi[c]_complex"
"" "E190_h2o[c]_complex" "E197_pi[c]_complex"
"" "E3_pi[c]_complex" "E191_pi[c]_complex"
"" "E3_pi[c]_complex" "E195_pi[c]_complex"
"" "E3_pi[c]_complex" "E197_pi[c]_complex"
"" "E191_pi[c]_complex" "E195_pi[c]_complex"
"" "E191_pi[c]_complex" "E197_pi[c]_complex"
"" "E195_pi[c]_complex" "E197_pi[c]_complex"
"" "E29_accoa[c]_complex" "E154_accoa[c]_complex"
"" "E46_atp[c]_glu__L[c]_complex" "E200_atp[c]_glu__L[c]_complex"
"" "E32_h[c]_utp[c]_complex" "E160_h[c]_utp[c]_complex"
"" "E204_atp[c]_complex" "E211_h2o[c]_nad[c]_complex"
"" "dhadr[c]" "E213_gln__L[c]_h2o[c]_complex"
"" "E213_gln__L[c]_h2o[c]_complex" "E117_h2o[c]_complex"
"" "E5_akg[c]_gln__L[c]_complex" "E217_akg[c]_gln__L[c]_complex"
"" "E5_akg[c]_gln__L[c]_complex" "E218_akg[c]_gln__L[c]_complex"
"" "h2mpt[c]" "E5_akg[c]_gln__L[c]_complex"
"" "E217_akg[c]_gln__L[c]_complex" "E218_akg[c]_gln__L[c]_complex"
"" "h2mpt[c]" "E217_akg[c]_gln__L[c]_complex"
"" "h2mpt[c]" "E218_akg[c]_gln__L[c]_complex"
"" "E51_atp[c]_h2o[c]_complex" "E224_atp[c]_h2o[c]_complex"
"" "E52_hcys__L[c]_complex" "E228_hcys__L[c]_complex"
"" "E24_h2o[c]_nad[c]_complex" "E147_h2o[c]_nad[c]_complex"
"" "E168_f420_2[c]_h[c]_nadh[c]_complex" "E168_f420_2[c]_h[c]_nadph[c]_complex"
"" "E55_atp[c]_nh4[c]_complex" "E234_atp[c]_nh4[c]_complex"
"" "E55_atp[c]_nh4[c]_complex" "E237_atp[c]_nh4[c]_complex"
"" "E55_atp[c]_nh4[c]_complex" "E242_atp[c]_nh4[c]_complex"
"" "E234_atp[c]_nh4[c]_complex" "E237_atp[c]_nh4[c]_complex"
"" "E234_atp[c]_nh4[c]_complex" "E242_atp[c]_nh4[c]_complex"
"" "E237_atp[c]_nh4[c]_complex" "E242_atp[c]_nh4[c]_complex"
"" "E107_3mob[c]_h2o[c]_complex" "E260_nad[c]_complex"
"" "E107_3mob[c]_h2o[c]_complex" "E262_h[c]_nadph[c]_complex"
"" "E107_3mob[c]_h2o[c]_complex" "E89_dump[c]_complex"
"" "E107_3mob[c]_h2o[c]_complex" "E366_dump[c]_complex"
"" "E39_accoa[c]_h2o[c]_complex" "E176_accoa[c]_h2o[c]_complex"
"" "E39_accoa[c]_h2o[c]_complex" "E178_accoa[c]_h2o[c]_complex"
"" "E176_accoa[c]_h2o[c]_complex" "E178_accoa[c]_h2o[c]_complex"
"" "E260_nad[c]_complex" "E262_h[c]_nadph[c]_complex"
"" "E260_nad[c]_complex" "E89_dump[c]_complex"
"" "E260_nad[c]_complex" "E366_dump[c]_complex"
"" "E262_h[c]_nadph[c]_complex" "E89_dump[c]_complex"
"" "E262_h[c]_nadph[c]_complex" "E366_dump[c]_complex"
"" "E63_atp[c]_nh4[c]_complex" "E272_atp[c]_nh4[c]_complex"
"" "E4_com[c]_complex" "E201_com[c]_complex"
"" "E4_com[c]_complex" "E205_com[c]_complex"
"" "E4_com[c]_complex" "E212_com[c]_complex"
"" "E4_com[c]_complex" "E214_com[c]_complex"
"" "E4_com[c]_complex" "E215_com[c]_complex"
"" "E201_com[c]_complex" "E205_com[c]_complex"
"" "E201_com[c]_complex" "E212_com[c]_complex"
"" "E201_com[c]_complex" "E214_com[c]_complex"
"" "E201_com[c]_complex" "E215_com[c]_complex"
"" "E205_com[c]_complex" "E212_com[c]_complex"
"" "E205_com[c]_complex" "E214_com[c]_complex"
"" "E205_com[c]_complex" "E215_com[c]_complex"
"" "E212_com[c]_complex" "E214_com[c]_complex"
"" "E212_com[c]_complex" "E215_com[c]_complex"
"" "E214_com[c]_complex" "E215_com[c]_complex"
"" "E305_5hbzid[c]_complex" "E302_atp[c]_h[c]_complex"
"" "E311_atp[c]_complex" "E311_gtp[c]_complex"
"" "dhadrp[c]" "E311_atp[c]_complex"
"" "E311_atp[c]_complex" "E92_atp[c]_pi[e]_complex"
"" "dhadrp[c]" "E311_gtp[c]_complex"
"" "E311_gtp[c]_complex" "E92_atp[c]_pi[e]_complex"
"" "E248_atp[c]_glu__L[c]_complex" "E248_glu__L[c]_gtp[c]_complex"
"" "dhadrp[c]" "E92_atp[c]_pi[e]_complex"
"" "dhadr[c]" "E117_h2o[c]_complex"
"" "E_324" "E326_h[c]_complex"
"" "dhadrpr[c]" "dhadrdpr[c]"
"" "dmh2mpt[c]" "mmh2mpt[c]"
"" "E79_h2o[c]_complex" "E332_h2o[c]_complex"
"" "E79_h2o[c]_complex" "E335_h2o[c]_complex"
"" "E79_h2o[c]_complex" "E336_h2o[c]_complex"
"" "E332_h2o[c]_complex" "E335_h2o[c]_complex"
