"V1" "V2"
"" "E183_asp_L[c]_atp[c]_gln_L[c]_complex" "E210_dnad[c]_complex"
"" "E45_chitob[c]_complex" "E210_dnad[c]_complex"
"" "E265_chitob[c]_complex" "E210_dnad[c]_complex"
"" "chit[c]" "E210_dnad[c]_complex"
"" "E99_ahcys[c]_complex" "E210_dnad[c]_complex"
"" "E135_1Dgali[c]_complex" "E210_dnad[c]_complex"
"" "E169_13dpg[c]_complex" "E210_dnad[c]_complex"
"" "E210_dnad[c]_complex" "E313_dcmp[c]_h[c]_complex"
"" "E23_fdp[c]_complex" "E210_dnad[c]_complex"
"" "E172_fdp[c]_complex" "E210_dnad[c]_complex"
"" "E210_dnad[c]_complex" "E278_3hpcoa[c]_complex"
"" "E210_dnad[c]_complex" "E281_adn[c]_h[c]_complex"
"" "gsn[c]" "E210_dnad[c]_complex"
"" "E210_dnad[c]_complex" "E297_gua[c]_h[c]_complex"
"" "E210_dnad[c]_complex" "E406_gtp[c]_complex"
"" "E210_dnad[c]_complex" "E311_cytd[c]_h[c]_complex"
"" "E210_dnad[c]_complex" "E211_cmp[c]_complex"
"" "E210_dnad[c]_complex" "E312_dctp[c]_complex"
"" "E210_dnad[c]_complex" "E317_dutp[c]_complex"
"" "E210_dnad[c]_complex" "E211_dump[c]_complex"
"" "E210_dnad[c]_complex" "E211_dtmp[c]_complex"
"" "E210_dnad[c]_complex" "E327_cellb[c]_complex"
"" "paps[c]" "E210_dnad[c]_complex"
"" "thm[c]" "E210_dnad[c]_complex"
"" "thmmp[c]" "E210_dnad[c]_complex"
"" "thmppp[c]" "E210_dnad[c]_complex"
"" "E210_dnad[c]_complex" "E322_3mob[c]_accoa[c]_complex"
"" "E222_h[m]_nadh[m]_complex" "E223_fadh2[m]_complex"
"" "E251_2cpr5p[h]_complex" "E273_5aop[h]_complex"
"" "E251_2cpr5p[h]_complex" "E270_mppp9me[h]_complex"
"" "E18_asp_L[h]_atp[h]_complex" "E251_2cpr5p[h]_complex"
"" "E151_asp_L[h]_atp[h]_complex" "E251_2cpr5p[h]_complex"
"" "E30_3pg[h]_atp[h]_complex" "E251_2cpr5p[h]_complex"
"" "pphn[c]" "spmd[c]"
"" "pphn[c]" "E324_acglu[c]_atp[c]_complex"
"" "pphn[c]" "E349_atp[c]_glu_L[c]_complex"
"" "pphn[c]" "E346_2mahmp[c]_4mpetz[c]_complex"
"" "3c4mop[c]" "pphn[c]"
"" "pphn[c]" "E22_ac[c]_atp[c]_coa[c]_complex"
