"" "E43_atp[c]_ppcoa[c]_complex" "E514_atp[c]_pyr[c]_complex"
"" "E43_atp[c]_ppcoa[c]_complex" "E186_air[c]_atp[c]_complex"
"" "E83_nad[c]_complex" "E435_nad[c]_complex"
"" "E8_h[c]_pyr[c]_complex" "E88_h[c]_pyr[c]_complex"
"" "E8_h[c]_pyr[c]_complex" "E435_h[c]_pyr[c]_complex"
"" "E88_h[c]_pyr[c]_complex" "E435_h[c]_pyr[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E436_coa[c]_pyr[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E13_1pyr5c[c]_h2o[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E120_1pyr5c[c]_h2o[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E522_1pyr5c[c]_h2o[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E523_1pyr5c[c]_h2o[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E510_gly[c]_thf[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E58_nadph[c]_complex"
"" "E92_coa[c]_pyr[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "E436_coa[c]_pyr[c]_complex" "E13_1pyr5c[c]_h2o[c]_complex"
"" "E436_coa[c]_pyr[c]_complex" "E120_1pyr5c[c]_h2o[c]_complex"
"" "E436_coa[c]_pyr[c]_complex" "E522_1pyr5c[c]_h2o[c]_complex"
"" "E436_coa[c]_pyr[c]_complex" "E523_1pyr5c[c]_h2o[c]_complex"
"" "E436_coa[c]_pyr[c]_complex" "E510_gly[c]_thf[c]_complex"
"" "E436_coa[c]_pyr[c]_complex" "E58_nadph[c]_complex"
"" "E436_coa[c]_pyr[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "x(533)" "E339_h2o[c]_complex"
"" "x(533)" "E170_h2o[c]_complex"
"" "x(533)" "E442_h2o[c]_complex"
"" "E118_atp[c]_pyr[c]_complex" "E514_atp[c]_pyr[c]_complex"
"" "E118_atp[c]_pyr[c]_complex" "E186_air[c]_atp[c]_complex"
"" "E514_atp[c]_pyr[c]_complex" "E186_air[c]_atp[c]_complex"
"" "UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine" "UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine"
"" "UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine" "UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine"
"" "x(120)" "x(367)"
"" "UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine" "UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine"
"" "E17_atp[c]_gtp[c]_h2o[c]_complex" "E17_atp[c]_h[c]_complex"
"" "E197_h2o[c]_mlthf[c]_complex" "E369_accoa[c]_h2o[c]_complex"
"" "E13_1pyr5c[c]_h2o[c]_complex" "E120_1pyr5c[c]_h2o[c]_complex"
"" "E13_1pyr5c[c]_h2o[c]_complex" "E522_1pyr5c[c]_h2o[c]_complex"
"" "E13_1pyr5c[c]_h2o[c]_complex" "E523_1pyr5c[c]_h2o[c]_complex"
"" "E13_1pyr5c[c]_h2o[c]_complex" "E510_gly[c]_thf[c]_complex"
"" "E13_1pyr5c[c]_h2o[c]_complex" "E58_nadph[c]_complex"
"" "E13_1pyr5c[c]_h2o[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "E120_1pyr5c[c]_h2o[c]_complex" "E522_1pyr5c[c]_h2o[c]_complex"
"" "E120_1pyr5c[c]_h2o[c]_complex" "E523_1pyr5c[c]_h2o[c]_complex"
"" "E120_1pyr5c[c]_h2o[c]_complex" "E510_gly[c]_thf[c]_complex"
"" "E120_1pyr5c[c]_h2o[c]_complex" "E58_nadph[c]_complex"
"" "E120_1pyr5c[c]_h2o[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "E522_1pyr5c[c]_h2o[c]_complex" "E523_1pyr5c[c]_h2o[c]_complex"
"" "E522_1pyr5c[c]_h2o[c]_complex" "E510_gly[c]_thf[c]_complex"
"" "E522_1pyr5c[c]_h2o[c]_complex" "E58_nadph[c]_complex"
"" "E522_1pyr5c[c]_h2o[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "E523_1pyr5c[c]_h2o[c]_complex" "E510_gly[c]_thf[c]_complex"
"" "E523_1pyr5c[c]_h2o[c]_complex" "E58_nadph[c]_complex"
"" "E523_1pyr5c[c]_h2o[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "E125_utp[c]_complex" "E1_gdp[c]_complex"
"" "E125_utp[c]_complex" "E22_gdp[c]_complex"
"" "E125_utp[c]_complex" "E20_adp[c]_complex"
