"V1" "V2"
"" "E45_C00008[c]_complex" "E45_C00015[c]_complex"
"" "E45_C00008[c]_complex" "E45_C00035[c]_complex"
"" "E45_C00008[c]_complex" "E45_C00112[c]_complex"
"" "E45_C00015[c]_complex" "E45_C00035[c]_complex"
"" "E45_C00015[c]_complex" "E45_C00112[c]_complex"
"" "E45_C00035[c]_complex" "E45_C00112[c]_complex"
"" "E87_C03427[c]_complex" "E28_C00001[c]_complex"
"" "E87_C03427[c]_complex" "E179_C00001[c]_complex"
"" "E87_C03427[c]_complex" "E201_C00001[c]_complex"
"" "E87_C03427[c]_complex" "E259_C00001[c]_complex"
"" "E87_C03427[c]_complex" "E270_C00001[c]_complex"
"" "Geranylgeranyl diphosphate" "Phytoene"
"" "E67_C00103[p]_complex" "E240_C00103[p]_complex"
"" "E12_C00025[c]_complex" "E152_C00025[c]_complex"
"" "E12_C00025[c]_complex" "E153_C00025[c]_complex"
"" "E12_C00025[c]_complex" "E216_C00025[c]_complex"
"" "E12_C00025[c]_complex" "E248_C00025[c]_complex"
"" "E152_C00025[c]_complex" "E153_C00025[c]_complex"
"" "E152_C00025[c]_complex" "E216_C00025[c]_complex"
"" "E152_C00025[c]_complex" "E248_C00025[c]_complex"
"" "E153_C00025[c]_complex" "E216_C00025[c]_complex"
"" "E153_C00025[c]_complex" "E248_C00025[c]_complex"
"" "E216_C00025[c]_complex" "E248_C00025[c]_complex"
"" "E5_C00013[c]_C00020[c]_C00080[c]_complex" "E154_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E5_C00013[c]_C00020[c]_C00080[c]_complex" "E158_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E5_C00013[c]_C00020[c]_C00080[c]_complex" "E217_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E5_C00013[c]_C00020[c]_C00080[c]_complex" "E218_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E5_C00013[c]_C00020[c]_C00080[c]_complex" "E272_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E154_C00013[c]_C00020[c]_C00080[c]_complex" "E158_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E154_C00013[c]_C00020[c]_C00080[c]_complex" "E217_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E154_C00013[c]_C00020[c]_C00080[c]_complex" "E218_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E154_C00013[c]_C00020[c]_C00080[c]_complex" "E272_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E158_C00013[c]_C00020[c]_C00080[c]_complex" "E217_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E158_C00013[c]_C00020[c]_C00080[c]_complex" "E218_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E158_C00013[c]_C00020[c]_C00080[c]_complex" "E272_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E217_C00013[c]_C00020[c]_C00080[c]_complex" "E218_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E217_C00013[c]_C00020[c]_C00080[c]_complex" "E272_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E218_C00013[c]_C00020[c]_C00080[c]_complex" "E272_C00013[c]_C00020[c]_C00080[c]_complex"
"" "E66_C00006[p]_complex" "E104_C00006[p]_complex"
"" "E66_C00006[p]_complex" "E145_C00006[p]_complex"
"" "E66_C00006[p]_complex" "E338_C00006[p]_complex"
"" "E104_C00006[p]_complex" "E145_C00006[p]_complex"
"" "E104_C00006[p]_complex" "E338_C00006[p]_complex"
"" "E145_C00006[p]_complex" "E338_C00006[p]_complex"
"" "E69_C00014[c]_complex" "E92_C00014[c]_complex"
"" "E69_C00014[c]_complex" "E239_C00014[c]_complex"
