"V1" "V2"
"" "FBP" "ATPPRT"
"" "GLUN" "PRASCS_h_c_pi_c_25aics_c_complex"
"" "GLUN" "PRAIS_h_c_h_c_pi_c_air_c_complex"
"" "GLUN" "AIRC2_h_c_pi_c_5caiz_c_complex"
"" "GLUN" "GLUPRT"
"" "PRASCS" "GLUN_gln_L_c_complex"
"" "AIRC2" "GLUN_gln_L_c_complex"
"" "acon_C_c" "atp_c"
"" "GLUSy" "PRASCS"
"" "GLUSy" "PRAIS"
"" "GLUSy" "AIRC2"
"" "amp_c" "atp_c"
"" "HACD2i" "ACALD_nad_c_complex"
"" "acon_C_c" "amp_c"
"" "nad_c" "3ohcoa3_c"
"" "PRAIS" "PRASCS"
"" "AIRC2" "PRASCS"
"" "atp_c" "25aics_c"
"" "AIRC3" "PRASCS_atp_c_asp_L_c_complex"
"" "PRAIS_h_c_h_c_pi_c_air_c_complex" "PRASCS_h_c_pi_c_25aics_c_complex"
"" "AIRC2_h_c_pi_c_5caiz_c_complex" "PRASCS_h_c_pi_c_25aics_c_complex"
"" "GLUPRT" "PRASCS_h_c_pi_c_25aics_c_complex"
"" "PRAIS_air_c_complex" "PRASCS_25aics_c_complex"
"" "PRAIS" "PRASCS_25aics_c_complex"
"" "PRFGS_pramf_c_complex" "PRASCS_25aics_c_complex"
"" "AIRC2_5caiz_c_complex" "PRASCS_25aics_c_complex"
"" "IGPDH" "PRASCS_25aics_c_complex"
"" "aicar_c" "25aics_c"
"" "PRASCS" "ADSL2r"
"" "acetylco_c" "coa_c"
"" "KAS15_acetylco_c_complex" "HACD2i_nadhd_c_3ohcoa3_c_complex"
"" "PRAIS_h_c_pi_c_air_c_complex" "KAS15_acetylco_c_complex"
"" "PRAIS_pi_c_air_c_complex" "KAS15_acetylco_c_complex"
"" "PRASCS_pi_c_25aics_c_complex" "KAS15_acetylco_c_complex"
"" "hxcoah_c" "hx2coah_c"
"" "ACOAD2f" "ECOAH2"
"" "ECOAH2" "HACD2i_nad_c_complex"
"" "PRAIS_h_c_pi_c_air_c_complex" "HACD2i_nadhd_c_3ohcoa3_c_complex"
"" "PRAIS_pi_c_air_c_complex" "HACD2i_nadhd_c_3ohcoa3_c_complex"
"" "PRASCS_pi_c_25aics_c_complex" "HACD2i_nadhd_c_3ohcoa3_c_complex"
"" "ala_L_c" "his_L_c"
"" "SERD_L" "SERD_L"
"" "ala_L_c" "cys_L_c"
"" "SERD_L" "CYSDS"
"" "ATPPRT" "SERD_L"
"" "HISTP" "SERD_L"
"" "cys_L_c" "his_L_c"
"" "met_L_c" "trp_L_c"
"" "met_L_c" "phe_L_c"
"" "ala_L_c" "met_L_c"
"" "phe_L_c" "trp_L_c"
"" "ala_L_c" "trp_L_c"
"" "arg_L_c" "orn_c"
"" "ADSS" "ABTA"
"" "ABTA" "ASPT"
"" "ADSS" "ADSL2r_aicar_c_complex"
"" "hx2coah_c" "3hhcoa3_c"
"" "mal_L_c" "pseri_L_c"
"" "mal_L_c" "succ_c"
"" "succ_c" "pseri_L_c"
"" "lac_D_c" "pyr_c"
"" "AIRC2_atp_c_complex" "KAS15_coa_c_complex"
"" "ATPPRT" "SERD_L"
"" "HISTP" "SERD_L"
"" "CYSDS" "SERD_L"
"" "PRFGS" "PRAIS_atp_c_complex"
"" "glu_L_c" "pramf_c"
