"x"
"1" 272
"2" 1346
"3" 1348
"4" 10462
"5" 1349
"6" 1351
"7" 10465
"8" 1352
"9" 1354
"10" 10468
"11" 1494
"12" 2372
"13" 2374
"14" 11443
"15" 2108
"16" 2110
"17" 2111
"18" 2113
"19" 2409
"20" 2411
"21" 11478
"22" 6253
"23" 6255
"24" 15150
"25" 7278
"26" 7279
"27" 16124
"28" 3244
"29" 3246
"30" 12277
"31" 3398
"32" 3400
"33" 12425
"34" 3641
"35" 3643
"36" 12661
"37" 3644
"38" 3646
"39" 12664
"40" 4933
"41" 4935
"42" 13903
"43" 4936
"44" 4938
"45" 13906
"46" 4939
"47" 4941
"48" 13909
"49" 4942
"50" 4944
"51" 13912
"52" 5347
"53" 5349
"54" 14292
"55" 5350
"56" 5352
"57" 14295
"58" 5956
"59" 5958
"60" 14872
"61" 6441
"62" 15331
"63" 6442
"64" 15326
"65" 6443
"66" 15327
"67" 6445
"68" 15329
"69" 6446
"70" 15330
"71" 7015
"72" 7017
"73" 15874
"74" 7310
"75" 7312
"76" 16154
"77" 7430
"78" 7432
"79" 16269
"80" 7433
"81" 7435
"82" 16272
"83" 8060
"84" 8062
"85" 16872
"86" 8560
"87" 8562
"88" 17356
