"x"
"1" 367
"2" 7704
"3" 368
"4" 7702
"5" 369
"6" 7703
"7" 843
"8" 8157
"9" 844
"10" 8155
"11" 845
"12" 8156
"13" 1087
"14" 8390
"15" 1088
"16" 8389
"17" 1089
"18" 4712
"19" 11837
"20" 4713
"21" 11835
"22" 4714
"23" 11836
"24" 2594
"25" 9815
"26" 2595
"27" 9813
"28" 2596
"29" 9814
"30" 4432
"31" 11575
"32" 4433
"33" 11573
"34" 4434
"35" 11574
"36" 3586
"37" 10759
"38" 3587
"39" 10757
"40" 3588
"41" 10758
"42" 4702
"43" 11827
"44" 4703
"45" 11825
"46" 4704
"47" 11826
"48" 4705
"49" 11830
"50" 4706
"51" 11828
"52" 4707
"53" 11829
"54" 4708
"55" 11833
"56" 4709
"57" 11831
"58" 4710
"59" 11832
"60" 5094
"61" 12203
"62" 5095
"63" 12201
"64" 5096
"65" 12202
"66" 5256
"67" 12361
"68" 5257
"69" 12359
"70" 5258
"71" 12360
"72" 5329
"73" 12428
"74" 5330
"75" 12426
"76" 5331
"77" 12427
"78" 5332
"79" 12431
"80" 5333
"81" 12429
"82" 5334
"83" 12430
"84" 5335
"85" 12434
"86" 5336
"87" 12432
"88" 5337
"89" 12433
"90" 5338
"91" 12437
"92" 5339
"93" 12435
"94" 5340
"95" 12436
"96" 6029
"97" 13098
"98" 6030
"99" 13096
"100" 6031
"101" 13097
"102" 6259
"103" 13315
"104" 6260
"105" 13313
"106" 6261
"107" 13314
"108" 6262
"109" 13318
"110" 6263
"111" 13316
"112" 6264
"113" 13317
"114" 6786
"115" 13824
"116" 6787
"117" 13822
"118" 6788
"119" 13823
