"x"
"1" 71
"2" 72
"3" 14328
"4" 77
"5" 78
"6" 14333
"7" 192
"8" 202
"9" 203
"10" 238
"11" 239
"12" 14480
"13" 458
"14" 459
"15" 14688
"16" 1632
"17" 1633
"18" 15817
"19" 1884
"20" 1885
"21" 16055
"22" 2133
"23" 2134
"24" 16293
"25" 2164
"26" 2165
"27" 16322
"28" 2312
"29" 2313
"30" 16459
"31" 2598
"32" 2746
"33" 2747
"34" 16877
"35" 2749
"36" 2750
"37" 16879
"38" 2800
"39" 2801
"40" 16928
"41" 4577
"42" 5566
"43" 5567
"44" 19590
"45" 5580
"46" 5581
"47" 19603
"48" 6767
"49" 6768
"50" 20751
"51" 7195
"52" 7196
"53" 21166
"54" 7592
"55" 8520
"56" 8719
"57" 9626
"58" 9679
"59" 9681
"60" 9699
"61" 9700
"62" 9701
"63" 9711
"64" 11398
"65" 11399
"66" 25169
"67" 11760
"68" 11761
"69" 25507
"70" 370
"71" 371
"72" 14604
"73" 372
"74" 8979
"75" 8980
"76" 22895
"77" 8981
"78" 22896
"79" 318
"80" 14555
"81" 7048
"82" 21022
"83" 21023
"84" 7046
"85" 7047
"86" 21021
"87" 7094
"88" 7767
"89" 21718
"90" 7770
"91" 21721
"92" 22849
"93" 8929
"94" 9016
"95" 22867
"96" 8948
"97" 9017
"98" 22877
"99" 8959
"100" 9057
"101" 9201
"102" 23275
"103" 9181
"104" 9393
"105" 23317
"106" 9264
"107" 9438
"108" 23335
"109" 9320
"110" 9457
"111" 23345
"112" 9365
"113" 9468
"114" 10950
"115" 316
"116" 317
"117" 14554
"118" 14605
"119" 22897
