"x"
"1" 21
"2" 7561
"3" 22
"4" 77
"5" 80
"6" 83
"7" 1312
"8" 1394
"9" 1395
"10" 11142
"11" 1396
"12" 11143
"13" 8347
"14" 17766
"15" 2030
"16" 2033
"17" 2459
"18" 2462
"19" 2465
"20" 2787
"21" 6321
"22" 3735
"23" 3791
"24" 5854
"25" 5857
"26" 5860
"27" 5863
"28" 5866
"29" 5869
"30" 5872
"31" 5875
"32" 5878
"33" 5881
"34" 5884
"35" 5887
"36" 5890
"37" 5893
"38" 5896
"39" 5899
"40" 7982
"41" 7985
"42" 7988
"43" 8161
"44" 8164
"45" 8167
"46" 8170
"47" 8173
"48" 8437
"49" 8440
"50" 8576
"51" 8648
"52" 9369
