"x"
"1" 1586
"2" 15798
"3" 1587
"4" 15796
"5" 1588
"6" 15797
"7" 872
"8" 15114
"9" 873
"10" 15112
"11" 874
"12" 15113
"13" 875
"14" 15117
"15" 876
"16" 15115
"17" 877
"18" 15116
"19" 2872
"20" 17054
"21" 2873
"22" 17052
"23" 2874
"24" 17053
"25" 3817
"26" 17947
"27" 3818
"28" 17945
"29" 3819
"30" 17946
"31" 4420
"32" 18517
"33" 4421
"34" 18515
"35" 4422
"36" 18516
"37" 4423
"38" 18520
"39" 4424
"40" 18518
"41" 4425
"42" 18519
"43" 5579
"44" 19609
"45" 5580
"46" 19607
"47" 5581
"48" 19608
"49" 5582
"50" 19612
"51" 5583
"52" 19610
"53" 5584
"54" 19611
"55" 6275
"56" 10303
"57" 24097
"58" 10304
"59" 24096
"60" 10305
"61" 7830
"62" 21754
"63" 7831
"64" 21752
"65" 7832
"66" 21753
"67" 7850
"68" 21774
"69" 7851
"70" 21772
"71" 7852
"72" 21773
"73" 8379
"74" 22277
"75" 8380
"76" 22275
"77" 8381
"78" 22276
"79" 10369
"80" 24156
"81" 10370
"82" 24154
"83" 10371
"84" 24155
"85" 11082
"86" 24833
"87" 11083
"88" 24831
"89" 11084
"90" 24832
"91" 11557
"92" 25263
"93" 11558
"94" 25261
"95" 11559
"96" 25262
